"lineage","country","date","N.A220V","ORF1b.P314L","S.A222V","S.D614G","ORF1a.Q3922H","ORF1b.E1264D","ORF1b.M1573I","S.V1176F","S.P26L","S.Y144F","ORF1a.K3351R","N.Q9H","ORF1a.K282T","ORF1a.Q676H","ORF1a.A2529V","ORF9b.S6I","ORF8.F120V","ORF8.I121L","ORF3a.G254.","S.L5F","ORF1b.V2117L","ORF1a.T1496I","S.I909V","ORF1a.S944L","E.S68F","ORF1a.E3073G","N.D103N","ORF1b.M2025I","ORF1b.V2685F","ORF1b.T1137I","ORF1b.P2256L","ORF1a.I280V","ORF1b.H73Y","S.S939F","ORF1a.G519S","ORF1a.P2046S","ORF1a.P4120S","ORF1a.A3454V","ORF1a.T78A","ORF1a.H1160Y","ORF3a.Q213K","ORF1a.T2016I","N.P46S","ORF7a.P99S","S.L585F","ORF1a.A2129V","S.L216I","N.L382S","ORF1a.A690V","ORF1a.T753I","ORF1a.R3267K","S.S494P","ORF1b.S1893F","ORF1a.H83Y","S.T76I","ORF1a.I581V","ORF1b.N591S","ORF1a.P4220L","ORF3a.E19G","ORF3a.A72V","ORF1a.V106I","ORF1a.K1817R","ORF1b.L178F","ORF3a.T223I","ORF1b.V1649F","ORF1a.L3606F","ORF1a.E235K","M.L34F","ORF1a.T891I","ORF1b.A2268V","ORF1a.Q607H","ORF1a.I2307T","ORF1a.P1950L","ORF1a.P4211L"
"B.1.177.75","United Kingdom","2020-11-14",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.75","United Kingdom","2020-12-08",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.75","United Kingdom","2020-12-10",1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.75","United Kingdom","2020-11-01",1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.75","United Kingdom","2020-11-01",1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.75","United Kingdom","2020-11-05",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.75","United Kingdom","2020-11-05",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.75","United Kingdom","2021-01-08",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.75","United Kingdom","2021-01-17",1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.75","United Kingdom","2020-09-24",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.75","United Kingdom","2020-12-06",1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.75","Iceland","2020-12-12",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.75","Italy","2021-03-22",1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
