"lineage","country","date","N.A182S","N.R203K","N.G204R","ORF1a.K120N","ORF1b.T237I","ORF1b.P314L","S.D614G","ORF1a.T1589I","N.P13L","N.P67S","ORF9b.P10S","S.V6F","N.P122L","ORF3a.V90F"
"B.1.1.441","USA","2020-07-01",1,1,1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.441","USA","2020-07-07",1,1,1,1,1,1,1,1,0,0,0,0,0,0
"B.1.1.441","USA","2020-07-07",1,1,1,1,1,1,1,1,0,0,0,0,0,0
"B.1.1.441","USA","2020-09-16",1,1,1,1,0,1,1,0,1,1,1,1,0,0
"B.1.1.441","USA","2020-09-16",1,1,1,1,0,1,1,0,0,1,0,1,0,0
"B.1.1.441","USA","2020-11-04",1,1,1,1,0,1,1,0,0,0,0,1,0,0
"B.1.1.441","USA","2020-11-04",1,1,1,1,0,1,1,0,0,0,0,1,0,0
"B.1.1.441","USA","2020-11-06",1,1,1,1,0,1,1,0,0,0,0,1,1,1
"B.1.1.441","USA","2020-11-06",1,1,1,1,0,1,1,0,0,0,0,1,1,1
"B.1.1.441","USA","2020-10-01",1,1,1,1,0,1,1,0,0,0,0,1,0,0
"B.1.1.441","USA","2020-10-05",1,1,1,1,0,1,1,0,0,0,0,1,0,0
