"lineage","country","date","N.S194L","ORF1a.V561A","ORF1b.P314L","ORF1b.L1701F","ORF3a.Q57H","ORF7b.E33.","S.D614G","S.S640F","ORF1a.G445V","ORF1a.H2799Y","ORF1b.I1674T","ORF7a.G70V","ORF3a.P262L","S.R102I","ORF1a.P361T","ORF1a.D1323Y","ORF1a.L3606F","ORF1a.G3072C","ORF1a.A3958S","ORF1a.G298D","ORF1a.M3934I","ORF1a.R426C","ORF1a.T2087I","ORF1a.G227S","ORF1a.V710I","ORF1a.A3960S","ORF1a.P1862L","ORF1b.S638I","ORF1a.T1430N","ORF1a.P1921L","ORF1a.M1312I","ORF1a.T2906I","ORF1b.S1408L","ORF7a.T28I","ORF1a.K3353R","E.P71L","ORF1b.L2560H","ORF3a.I62V","ORF9b.R13L","ORF1a.G645S","ORF1b.L261F","ORF1a.A354V","ORF1a.H2520R","ORF1a.P804S","ORF1a.E250A","ORF3a.D155Y","S.G946V","ORF1a.E3764K","S.K1073N","N.S33I","ORF9b.V30L","N.P13S","ORF1a.Y1846H","ORF1a.A3497T","ORF1a.A2097V","ORF1b.V2073L","E.S55F","ORF3a.L106H","ORF1a.K322R","ORF1b.D54Y","S.V308L","ORF1a.L2781F","ORF1a.N1898S","ORF3a.M125I","ORF1a.L1249F","ORF1b.Q2403L","N.P6L","N.A156S","ORF1a.M2036I","ORF1a.S4398L","ORF9b.P3S","S.H1159R"
"B.1.36.17","United Kingdom","2021-01-12",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.17","United Kingdom","2021-01-20",1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.17","United Kingdom","2020-08-09",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.17","United Kingdom","2020-08-10",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.17","United Kingdom","2020-08-28",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.17","United Kingdom","2020-08-28",1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.17","United Kingdom","2020-08-28",1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.17","United Kingdom","2020-09-09",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.17","United Kingdom","2020-09-09",1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.17","United Kingdom","2020-09-09",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
