"lineage","country","date","N.R203K","N.G204R","ORF1a.D644G","ORF1b.P314L","S.D614G","S.A688V","M.H125Y","ORF1a.K1855E","ORF1b.P821S","N.T148A","ORF1a.R124C","ORF1a.A3209V","ORF1a.G3578S","ORF1a.T4159K","ORF1b.D1572N","ORF8.K68E","ORF8.I121L","ORF1a.Q66H","ORF1b.S2688C","ORF1b.S2689R","ORF1b.D2690S","N.A336V","ORF1a.H165Y","ORF1a.S2022P","ORF1a.N2878I","ORF1b.G2197S","N.S235F","ORF1a.E995D","ORF1a.T1001I","ORF1a.A1708D","ORF1a.S2535L","ORF1a.T2910I","ORF1a.L3116F","ORF1a.R3164H","ORF1a.A3220V","ORF1a.L3674M","ORF1a.A3995V","ORF3a.D27Y","ORF7a.E121Q","S.E583D","S.P681H","S.S735A","S.T1027I","S.F1052Y","S.D1118H","ORF1b.G703V","ORF3a.I124T","ORF8.A51V","N.P80R","ORF8.E92K","ORF9b.Q77E","S.T20N","S.E484K","S.N501Y"
"B.1.1.117","South Africa","2020-08-11",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.117","South Africa","2020-08-14",1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.117","South Africa","2020-08-26",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.117","South Africa","2020-08-06",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.117","USA","2021-02-11",1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.117","USA","2021-02-21",1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.117","USA","2021-03-03",1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.117","USA","2021-02-14",1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.117","USA","2021-04-14",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"B.1.1.117","USA","2020-06-16",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"B.1.1.117","USA","2021-04-14",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
