"lineage","country","date","N.A220V","ORF1a.A903V","ORF1b.P314L","ORF3a.W131C","S.A222V","S.D614G","S.P1263L","S.L54F","ORF1b.C790F","M.A38S","ORF1a.A429T","ORF3a.S40L","S.S13I","ORF3a.V112F","ORF8.T87I","ORF1a.H1113Y","S.S254F","S.P631S","ORF1a.R184C","ORF1b.A2222V","ORF1b.P1866S","N.P46S","ORF1a.K2143R","ORF1a.T2910A","ORF3a.L108F","S.Y28H","S.S255F","S.A520S","S.A688S","M.E11V","S.L849F","ORF1a.V2047L","ORF1b.V1760F","N.R209K","ORF1a.G327D","ORF1a.H2125Y","ORF1a.V3718F","ORF1b.I235M","S.G446V","ORF1a.T1240I","ORF1a.K1231E","ORF1a.S1361F","ORF1a.L3899I"
"W.1","United Kingdom","2020-10-17",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W.1","United Kingdom","2020-12-25",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W.1","Switzerland","2020-10-30",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W.1","Switzerland","2020-10-15",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W.1","USA","2021-01-22",1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W.1","USA","2020-12-21",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W.1","USA","2021-02-04",1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W.1","USA","2021-02-04",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W.1","USA","2021-02-05",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W.1","USA","2021-02-03",1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
