"lineage","country","date","N.N196S","N.R203K","N.G204R","ORF1a.P748S","ORF1a.V1020F","ORF1a.P1640S","ORF1a.F3085S","ORF1a.A3209V","ORF1b.P314L","ORF1b.R1736K","S.D614G","ORF1a.A690V","ORF1b.T237I","ORF3a.A54V","ORF1a.P885S","ORF3a.W131C","ORF1a.A1146T","M.A2S","S.L5F","ORF1a.A967T","ORF1a.K3353R","ORF1a.P2079S","ORF1a.V605F","S.C1250F","ORF1b.A2132V","ORF1b.P1427L","ORF1a.R398C","ORF1a.A3070V","S.T76I","ORF1a.A3924T","ORF1a.T4175I","ORF1b.S1273L","ORF1a.G2091C","ORF1a.E910K","ORF1b.A1847S","ORF6.D61Y","ORF1a.L3736F","ORF3a.G100C","ORF1a.V86F","ORF1a.C873G","ORF1b.V1649F","S.A647S","ORF1a.M1014T","ORF1b.A1844T","S.S12P","ORF1b.E2544D","ORF3a.V112F","ORF1a.A2994V","ORF1a.L3606F","ORF1b.L1220F","ORF1b.G2005C","ORF1a.F1979Y","ORF1a.P1803S"
"B.1.1.286","United Kingdom","2021-01-21",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.286","United Kingdom","2021-02-10",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.286","United Kingdom","2021-02-10",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.286","United Kingdom","2020-06-23",0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.286","United Kingdom","2020-08-09",0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.286","United Kingdom","2020-08-09",0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.286","United Kingdom","2020-08-09",1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.286","United Kingdom","2020-08-10",1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.286","United Kingdom","2020-09-09",1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.286","United Kingdom","2020-09-09",1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
