"lineage","country","date","ORF1a.G400D","ORF1a.I2501T","ORF1b.P314L","ORF1b.P1001L","ORF1b.H1213Y","ORF1b.S1779I","S.P25S","S.N439K","S.D614G","S.C1253F","ORF1a.L3606F","N.D377Y","M.I48V","ORF3a.W131C","ORF1b.P218L","ORF1a.M902V","ORF1a.A1851V","ORF1a.T3487A","N.D144Y","ORF1b.F1850Y","ORF1b.S1003G","ORF1a.T1754I","ORF1a.S279F","ORF1a.T1542I","ORF1a.T4090I","ORF3a.R126S","ORF1a.S2535L","ORF8.I10T","ORF1b.Y916H","ORF7b.A43S","S.Q690R","ORF1b.R1659I","ORF1a.A583V","ORF1a.L2176F","ORF1a.L3776F","ORF1b.H2285R","ORF3a.T229N","ORF1a.T1168I","ORF1b.H73Y","ORF1b.T1730I","S.T20I","ORF1b.V579L","ORF1a.T891I","ORF1a.G1155C","S.D215G","ORF1a.V3005I","ORF1b.E913D","S.Q677H","ORF1a.N4078S","ORF1a.P1213S","ORF1a.Q1813H","ORF7a.A105V","ORF7b.A43V","ORF9b.R32L","ORF1a.Q1943H","ORF1b.P2633S","ORF1b.I1216T","ORF1a.T224I","ORF3a.G49C","S.L5F","N.D128Y","ORF1a.T4355I","ORF3a.S253P","E.S68F","ORF1a.F143L","ORF3a.L108F","ORF1a.L2778F","ORF1b.T1774I","ORF1b.D2270Y","ORF8.A15S","ORF1a.K672N","ORF1a.M3934I","ORF1a.H2092Y","ORF1a.D992A","N.D63Y","ORF9b.K59N"
"B.1.258.3","United Kingdom","2020-08-10",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.3","United Kingdom","2020-08-10",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.3","United Kingdom","2020-08-28",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.3","United Kingdom","2020-08-28",1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.3","United Kingdom","2020-09-09",1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.3","United Kingdom","2020-09-10",1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.3","United Kingdom","2020-09-10",1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.3","United Kingdom","2020-09-10",1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.3","United Kingdom","2020-09-09",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.3","United Kingdom","2020-09-11",1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
