"lineage","country","date","M.I82T","N.D63G","N.R203M","N.G215C","N.D377Y","ORF1a.A1306S","ORF1a.P2046L","ORF1a.P2287S","ORF1a.Q2476H","ORF1a.V2930L","ORF1a.T3255I","ORF1a.T3646A","ORF1a.Q3777R","ORF1b.P314L","ORF1b.I457V","ORF1b.G662S","ORF1b.P1000L","ORF1b.A1918V","ORF3a.S26L","ORF7a.V82A","ORF7a.T120I","ORF7b.T40I","ORF9b.T60A","S.T19R","S.T95I","S.G142D","S.R158G","S.L452R","S.T478K","S.D614G","S.P681R","S.D950N","N.A254S","ORF3a.P42L","ORF3a.T221A","S.E484K","ORF7a.I3M","ORF7a.G42S","ORF7a.P99L","N.Q229H","ORF1a.L3606F","ORF1a.T3749I","ORF1a.V2795A","ORF1a.S911F","ORF3a.G11E","ORF1a.V2857A","ORF1b.F685Y","N.P67H","ORF1a.P927L","ORF3a.A99S","ORF9b.L64I","ORF1b.T1555I","ORF3a.Y145H","ORF1a.R99H","ORF1a.G1119S","S.H1058Y","ORF1b.M454I","E.V62F","ORF8.S103L","S.S698L","ORF1a.G2941S","ORF1a.K3353R","ORF3a.T176I","ORF1a.A690V","ORF3a.G100C","ORF1b.V63I","ORF1a.A4357V","S.T284I","N.H300Y","ORF1a.L349F","ORF1a.L681F","ORF1b.V426I","ORF1b.V1132F","ORF1b.Q1546H","ORF7a.F63H","ORF8.K68E","S.S1021F","ORF1a.H1545N","ORF1a.L3338F","ORF1a.T3461A","ORF1a.S3884L","ORF1b.S2430G","S.E309Q","S.S704L","S.E990D","ORF1a.P1497L","S.L5F","ORF1a.V1056M","ORF1a.T2512I","ORF1b.V2371L","ORF1a.T1168I","ORF1a.T1854I","ORF1a.I3842V","ORF1b.T1137I","ORF1b.E1184G","ORF1a.K1208I","ORF7a.C35F","ORF1a.T781A","ORF1a.E1706D","ORF8.G77V","ORF1a.E1633D","ORF1a.M85V","S.V1264L","ORF1b.D2270Y","ORF1a.S2900L","ORF1b.T132I","ORF1a.T1788M","N.G18V","ORF1a.P1640L","ORF1a.A3209V","ORF1a.V3718A","ORF9b.V15L","ORF1a.I3731V","ORF1a.T3750I","ORF1a.I473V","ORF1a.L4182F","ORF1b.A2131V","S.A222V","S.V289I","M.L17I","ORF1b.K2310N","ORF7b.C41Y","ORF1a.A2355S","ORF1a.G327D","ORF1b.R340I","ORF1b.D870N","ORF1b.V1870I","ORF1b.M2269I","S.N354T","S.K1045N","N.A251V","ORF1a.E1633Y","S.V193L","ORF3a.K132R"
"AY.109","United Kingdom","2021-07-11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.109","United Kingdom","2021-07-12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.109","United Kingdom","2021-08-03",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.109","United Kingdom","2021-08-31",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.109","United Kingdom","2021-09-05",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.109","United Kingdom","2021-09-07",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.109","United Kingdom","2021-09-07",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.109","United Kingdom","2021-09-13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.109","United Kingdom","2021-09-13",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.109","United Kingdom","2021-09-16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
