"lineage","country","date","N.T334I","ORF1a.I2501T","ORF1a.M4241I","ORF1b.P314L","ORF1b.V711I","ORF1b.P976L","ORF1b.H1213Y","ORF1b.A1521S","ORF3a.Q185H","S.L189F","S.N439K","S.D614G","S.V772I","S.G1219V","N.P142S","ORF1a.I2286M","ORF1b.Q283H","ORF1a.E1413D","ORF1a.T4161I","S.L5F","ORF1a.E155G","ORF1b.P1682S","ORF9b.G38D","ORF1a.C3419R","ORF1a.S966P","ORF8.G66C","ORF1a.V3718F","ORF1b.T730I","ORF1a.R43H","ORF1b.V2061L","ORF1a.T3520I","ORF1a.S216Y","ORF1b.P1917S","ORF1b.Y2139C","ORF1a.S3547G","S.T323I","ORF1a.V3647I","ORF1b.V1639I","ORF8.D107N","S.L18F","ORF1a.T1004A","ORF1a.P1265L","ORF1a.Q1403H","ORF1a.D4165N","S.K444R","ORF1a.A2856V","ORF1a.T4159I","ORF1b.D1939Y","ORF1a.M3030I","N.S416L","ORF1a.P1921S","ORF1a.Y2934C","N.R385I","S.A522V","S.T20I","S.A27S","ORF1a.T1543I","ORF1a.S2132G","ORF1a.P1213L","E.F23L","ORF1b.A545V","ORF1a.P1786L","ORF1a.P2685T","ORF3a.L83F","ORF1b.L1504F","ORF1a.L3606F","S.Q314K","ORF1a.K1348N","ORF1b.V1195F","ORF1b.L1827P","ORF1a.E3909G","S.K814M","ORF1b.D2333N","ORF1b.D436G","ORF1a.I2786T","S.S221L","S.A783T","ORF1a.S2114F","S.S1175P","ORF3a.T12I","ORF1b.K50N","ORF1b.E2092K","ORF1a.T2846I","ORF1a.P748L","ORF1a.T4065I","ORF1a.A498V","ORF1b.T1050I","ORF1a.G445S","ORF1a.S2488F","ORF1a.E471D","ORF3a.V80A","S.Q677H","ORF3a.G18V","S.A647S","N.A90S","ORF9b.E86D"
"B.1.258.4","United Kingdom","2020-10-01",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.4","United Kingdom","2020-10-01",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.4","United Kingdom","2020-10-05",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.4","United Kingdom","2020-10-05",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.4","United Kingdom","2020-10-05",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.4","United Kingdom","2020-10-05",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.4","United Kingdom","2020-10-05",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.4","United Kingdom","2020-10-06",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.4","United Kingdom","2020-10-07",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.4","United Kingdom","2020-10-07",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
