"lineage","country","date","E.V62F","M.I82T","N.D63G","N.R203M","N.D377Y","ORF1a.P309L","ORF1a.P1640L","ORF1a.A3209V","ORF1a.V3718A","ORF1b.P314L","ORF1b.G662S","ORF1b.P1000L","ORF1b.P1570L","ORF3a.S26L","ORF7a.V82A","ORF7a.L116F","ORF7a.T120I","ORF9b.T60A","S.T19R","S.S71F","S.R158G","S.L452R","S.T478K","S.D614G","S.P681R","S.D950N","S.L1141W","S.V1264L","N.G215C","N.Q389H","ORF1a.F536V","ORF1a.C873R","ORF1a.I880V","ORF1a.Q970R","ORF1a.A1306S","ORF1a.D1600N","ORF1a.P2046L","ORF1a.P2287S","ORF1a.V2930L","ORF1a.T3255I","ORF1a.T3646A","ORF1a.T4065I","ORF1b.H604Y","ORF1b.A1918V","ORF1b.I2378V","ORF7b.T40I","ORF9b.R32L","S.T95I","ORF1a.S944L","ORF1a.M3661V","ORF1a.I4049V","ORF1b.K94R","ORF1b.H1087Y","ORF1b.K2557R","ORF8.P38L","S.S255F","ORF1a.A1074T","ORF1a.K1219E","ORF1a.A2554V","ORF1a.T3750I","ORF1b.T1050N","ORF1b.P1666H","ORF3a.V55F","ORF7b.H42R","N.S416L","ORF1a.P380S","ORF1a.V1271I","ORF1a.A2249V","ORF3a.S74F","ORF3a.L95F","ORF1a.P62S","ORF1a.L2044P","ORF3a.D155E","S.A222V","S.P812Q","ORF1a.T333M","ORF1a.P380L","ORF1a.S443T","ORF1a.T1496I","ORF1a.S2600A","ORF1b.N2574S","ORF7a.P84L","S.G142D","S.L1234I","N.R385K","ORF1a.H2092Y","ORF1b.G1093C","ORF1b.H2285Y","ORF1b.F1722C","S.R346S","N.G99S","ORF1a.I1128V","ORF1b.E1184D","ORF1b.K2111N","ORF3a.M260I","ORF7a.T28I","N.P364L","ORF1a.L1853I","ORF1a.K2078E","ORF1b.M2260I","ORF1b.L2382F","ORF6.E54.","ORF8.F120V","S.G1219V","ORF1a.T891I","ORF1a.C3790F","ORF1b.T1637I","ORF3a.L96F","ORF3a.V112F","ORF8.S67F","ORF1a.D1532G","ORF1a.S2114F","ORF1b.P1427S","ORF1a.I4308T","ORF1a.A3454V","ORF6.P57S","N.A308S","ORF1a.D2592G","ORF1a.T2967I","ORF6.Y49H","N.R191C","ORF1a.T1093A","ORF1a.A1146S","ORF1a.T2007I","ORF1a.S2103P","ORF1a.L3606F","ORF1b.I1569T","ORF3a.T24N","S.T376I","S.Q677H","S.R683W","ORF1a.H1141Y","ORF1a.D3836G","S.V1176F","N.V270L","ORF1b.T76A","ORF1b.A1877V","ORF9b.A68V","ORF1b.A869V","ORF1a.A3901V","ORF1b.E2095K","ORF1b.Y1229C","ORF1a.S308L","ORF1a.D1671N","ORF1a.M2254T","ORF1b.T2163I","ORF1a.E1687D","ORF1a.H3076Y","ORF3a.T223I","ORF1b.T132I","ORF1a.T4355I","ORF1b.E910D","ORF3a.I123T","ORF1a.V2751F","ORF1b.H2583N","ORF1a.C936Y","ORF1b.A88V","ORF3a.I63T","S.A1087S","ORF1a.E1237D","ORF1a.M3627L","ORF1a.I3731V","ORF1a.A3969D","ORF3a.D210A","S.H69Y","S.V70I","E.V75.","ORF1a.T965I","ORF1b.T310I","ORF1b.P2434S","ORF8.I10T","S.N1074S","ORF1a.M1083I","ORF1a.H1108Y","ORF1a.I2490T","ORF1a.S2839N","ORF1b.R1315C","ORF1b.M2322I","ORF6.M19V","ORF7a.T11I","ORF1a.T3255V","ORF1b.V321L","N.Q9H","ORF1a.N278S","ORF1b.S2324G","ORF9b.S6I","ORF1a.P1921Q","ORF1a.H2659Y","ORF1a.D2980N","ORF1a.F3138S","ORF1a.H3580Q","ORF1a.T3672I","ORF1b.K150R","ORF1b.L169V","ORF1b.L1286F","ORF1b.K2310R","ORF3a.S92L","S.K77T","E.P71L","ORF1b.K2231N","ORF7a.R80I","ORF1a.G209D","ORF1b.A1643S","N.G200C","ORF1a.L454I","ORF1a.P1921L","ORF1a.D2924G","ORF1a.N3537S","ORF1b.T267M","ORF1a.T2846I","ORF1a.R1163T","ORF3a.V77F","ORF1a.A3955E","ORF6.P57L","S.K558N","ORF1a.E995D","ORF1a.D1127Y","ORF1b.H1550Y","ORF1a.I1206T","ORF1a.T1429I","ORF1a.S1857P","ORF1a.P1921S","ORF1a.T4083M","ORF1a.G519S","ORF1a.V627I","ORF1a.L631H","ORF1a.N2405S","ORF1a.A3220V","ORF1b.D2090Y","ORF3a.S171L","M.A2S","ORF1a.E995K","ORF1a.S2389L","ORF1a.T2823I","ORF1a.N3725S","ORF1b.S442I","ORF3a.E181K","ORF8.A65V","ORF1a.A1997V","ORF1a.Y1717H","ORF1a.Q3777R","ORF1b.T2453I","ORF3a.L106F","S.S359I","S.A1020V","ORF1a.H2986Y","ORF1a.V3975F","S.Q784H","ORF1a.G2927S","N.P168S","ORF1a.A1679V","ORF1a.V3925I","ORF1b.P2321L","ORF1a.D2592N","ORF1a.I2903V","ORF1a.A3657D","ORF1b.S2399I","S.G181V","S.V1104L","ORF1a.V868L","ORF1a.S1905F","ORF1a.C2165W","ORF1a.S2246L","ORF1a.V1008I","ORF8.A51V","ORF1a.G3514V","N.A134V","ORF1a.L18M","N.F307L","ORF1a.L469F","ORF1a.V2149F","ORF3a.T268M","ORF1a.A2344V","S.V70F","ORF1a.M1732I","ORF1a.K1984N","ORF1a.H3580Y","ORF1b.G16D","ORF1b.Q2070H","ORF3a.G44R","ORF3a.V255A","ORF1b.Q2335R","ORF1a.H2125Y","ORF1a.S2661F","S.E309Q"
"AY.23.1","Bangladesh","2021-08-05",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.23.1","Bahrain","2021-10-22",0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.23.1","Bahrain","2021-11-22",0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.23.1","Bahrain","2021-11-22",0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.23.1","Bahrain","2021-10-23",0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.23.1","Bahrain","2021-11-23",0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.23.1","Bahrain","2021-11-23",0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.23.1","Bahrain","2021-11-23",0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.23.1","Denmark","2021-06-25",0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.23.1","Malaysia","2022-01-09",0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
