"lineage","country","date","M.I82S","N.D3Y","N.T205I","ORF1a.T265I","ORF1a.R550H","ORF1a.S944L","ORF1a.S3384L","ORF1a.A3548V","ORF1a.V3653F","ORF1a.T4249I","ORF1b.P314L","ORF1b.P1165L","ORF3a.S40L","ORF3a.Q57H","ORF3a.T64I","ORF7a.T14I","ORF8.V62L","S.L18F","S.G257S","S.E484K","S.F490S","S.N501T","S.D614G","S.T859N","ORF1a.A516V","ORF1a.A1176V","ORF1b.S2148A","ORF1a.T333M","ORF1a.T3284I","ORF1a.A3523V","ORF1a.Y3649C","ORF1b.T1076I","ORF1a.D75N","ORF1a.D3247G","ORF6.H3R","ORF1a.Q1813P","ORF1b.V2117L","ORF1a.K1226T","ORF1b.G1041C","ORF7a.P34L","S.S98F","M.T208I","ORF8.K68T","S.G142D","ORF1a.D928Y","ORF1a.G1615S","ORF1b.Y1176H","ORF1a.M2254V","ORF1b.P2169S","S.L5F","S.P1162A","S.M1237I","ORF8.P38H","ORF8.H17Y"
"B.1.626","Germany","2021-04-16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.626","Germany","2021-05-24",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.626","Germany","2021-06-04",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.626","Switzerland","2021-06-21",1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.626","USA","2021-08-10",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.626","USA","2021-07-31",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.626","USA","2021-05-29",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.626","USA","2021-06-19",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.626","USA","2021-05-09",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.626","USA","2021-05-09",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
