"lineage","country","date","N.A220V","ORF1a.K3839R","ORF1b.P314L","S.A222V","S.D614G","N.A119S","ORF1b.D870G","S.D253G","ORF1a.T183I","ORF1a.A1352V","ORF1b.E2390K","ORF8.E64.","ORF1a.I1274T","N.S327L","S.E1207D","ORF1a.T2280I","ORF1a.S17C","M.I49V","ORF8.Q18.","ORF1a.V2715I","S.P1263T","ORF1a.L145I","ORF1a.T1269I","ORF1a.T2274I","ORF1a.S3158G","ORF3a.P104L","ORF7a.K72Q","ORF1b.T284I","S.L5F","N.A359S","ORF1b.P2531S","ORF1a.I431M","ORF1b.V1615A","ORF1a.T1854I","ORF1a.D953Y","ORF1a.L3606F","ORF7a.Q62H","ORF3a.V202L","E.F20L","ORF1a.P892S","ORF1a.N1121D","ORF1b.T797I","ORF9b.R32L","ORF8.S67F","ORF1a.T999I","ORF1a.P1596S","ORF1b.M2417I","ORF3a.L52P","ORF8.P30T","ORF1a.L3116F","ORF1a.A4123S","ORF1a.P971S"
"B.1.177.4","United Kingdom","2021-01-12",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.4","United Kingdom","2021-01-12",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.4","United Kingdom","2021-01-12",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.4","United Kingdom","2021-01-12",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.4","United Kingdom","2021-01-12",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.4","United Kingdom","2021-01-12",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.4","United Kingdom","2021-01-12",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.4","United Kingdom","2021-01-11",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.4","United Kingdom","2021-01-13",1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.4","United Kingdom","2021-01-12",1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.4","United Kingdom","2021-01-12",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.4","United Kingdom","2021-01-13",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.4","United Kingdom","2021-01-11",1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
