"lineage","country","date","M.I82T","ORF1a.E1196V","ORF1a.K2511N","ORF1a.T2936I","ORF1a.A3209V","ORF1a.T3284I","ORF1b.P314L","ORF1b.V2371M","ORF1b.A2513S","ORF8.E106.","S.T95I","S.E484K","S.D614G","S.P681H","S.D796H","N.R203K","N.G204R","N.R209G","ORF1a.M3862T","ORF1a.E931G","ORF1a.G1101V","ORF1a.R1170H","ORF6.P57S","ORF1a.P193L","ORF1a.L1145F","ORF1a.K2029N","ORF1b.M2025I","ORF6.R20S","ORF1b.P1427L","S.H49Y","ORF1a.R2875H","ORF1a.A2355S","ORF1a.L2333I","ORF1a.V1629F","ORF1a.T224I","S.M177I","S.A222V","ORF1a.R1225I","M.M109I","ORF1b.M1352I","ORF1b.R2189C","ORF3a.F207L","ORF1a.T2183I","ORF1b.A1643V","S.E583D","S.L5F","S.A871S","ORF1a.E1209D","ORF1a.G3676S","ORF1a.F3677L","ORF6.E46A","ORF7b..44Y","N.A208P","ORF3a.P104L","ORF7a.V24F","ORF1a.S538L","ORF1a.T2300I","ORF8.P38S","ORF1a.A1352V","M.S212G","ORF7a.P45L","ORF1a.G295D","ORF1b.V87I","ORF1a.M2796I","ORF8.S82P"
"AZ.3","Switzerland","2021-08-05",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ.3","USA","2021-03-31",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ.3","USA","2021-05-06",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ.3","USA","2021-04-20",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ.3","USA","2021-04-24",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ.3","USA","2021-03-27",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ.3","USA","2021-03-29",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ.3","USA","2021-03-29",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ.3","USA","2021-03-30",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ.3","USA","2021-04-21",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
