"lineage","country","date","N.R203K","N.G204R","N.A211V","ORF1a.P3395S","ORF1b.P314L","ORF1b.V345L","S.L54F","S.D614G","ORF1a.E2268G","ORF1b.L1220P","ORF1a.S2103P","ORF1a.A3209S","ORF1a.T4079I","N.P199S","ORF1a.A3518V","ORF1a.T2836I","ORF1a.P927L","ORF1a.L2655F"
"AS.1","United Kingdom","2020-11-08",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"AS.1","United Kingdom","2020-11-08",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"AS.1","United Kingdom","2020-11-14",1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
"AS.1","United Kingdom","2020-11-14",1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0
"AS.1","United Kingdom","2020-11-20",1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
"AS.1","United Kingdom","2020-12-17",1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
"AS.1","United Kingdom","2020-12-20",1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0
"AS.1","United Kingdom","2020-12-20",1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0
"AS.1","United Kingdom","2020-11-05",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"AS.1","United Kingdom","2020-11-15",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
"AS.1","United Kingdom","2020-11-18",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"AS.1","United Kingdom","2020-12-12",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0
"AS.1","United Kingdom","2020-11-03",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"AS.1","United Kingdom","2020-12-23",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
