"lineage","country","date","N.R203K","N.G204R","ORF1a.S538P","ORF1a.T609I","ORF1a.T1022I","ORF1a.A1049V","ORF1a.S2261F","ORF1a.G2534A","ORF1a.A2621T","ORF1a.K3162E","ORF1b.P314L","ORF3a.Q38P","S.K964R","ORF1a.M1647I","ORF1a.A1997V","ORF1a.A4016V","ORF1b.D2090Y","ORF1b.K2557R","ORF3a.D142H","ORF3a.S171L","ORF7a.K53I","ORF8.I121L","S.D614G","ORF1a.V28I","ORF1a.T2791I","ORF1a.M3221I","ORF1a.A3497V","ORF1b.V2371L","ORF3a.Q57H","ORF1a.Q1784H","ORF1a.P1950S","N.R195I","ORF1a.K1208R","ORF1a.A3143T","ORF1a.L3919F","ORF1b.T1336I","ORF1b.I1998V","ORF3a.L140F","ORF3a.V259I","ORF8.A65S","S.L5F","S.R102G","ORF1a.E87G","ORF1a.P4337S","ORF1b.H2388Y","ORF3a.A59V","S.P561T","ORF1a.N2539D","ORF1b.A167D","ORF1a.S944L","ORF1b.I1598S","N.S412I","ORF1a.A1204V","ORF1b.V306G","ORF3a.D155Y","ORF1b.Q1204H","ORF1a.E847G","ORF1a.K1124R","ORF1a.D1624G","S.D796Y","N.Q70R","ORF1a.S1188L","ORF9b.K67E","ORF1b.D2020Y","ORF1a.L27F","ORF1b.V2I","ORF1a.G137V","ORF1a.P1158L","ORF1b.V138I","ORF1b.P1682S","N.R95L","ORF1a.T2300I","ORF1a.A2460T","ORF9b.V92L","M.T208I","ORF1a.T224I","ORF1a.S443F","ORF1a.Q975R","ORF1a.K2029N","ORF1a.T2800N","ORF1b.M1499I","ORF3a.A33V","ORF3a.A110S","ORF7a.L12F","ORF3a.L95F","S.Q613H","N.S413I","ORF1a.P380L","ORF1a.I2010T","ORF1a.A4162V","ORF8.V62L","ORF1a.T1998I","ORF1b.L629F","ORF1a.G645C","ORF1a.T4065I","ORF1b.P1452L","ORF1b.V1983L","ORF7b.A15S","ORF1b.P1287S","M.A142V","E.E7K","ORF1a.T708I","ORF1a.V4216F","ORF1b.G814D","ORF1b.P2313L","ORF8.Y111C","S.N137K","S.H655Y","ORF3a.L41F","ORF1a.L3352F","ORF3a.W131S","M.H125Y","N.D401Y","ORF1a.M1312I","ORF1a.S4199G","N.R385I","S.P1263L","ORF1b.P1095S","ORF1a.S1857P","ORF1a.A3963V","N.R191L","ORF1a.A486V","ORF1b.H1712Y","ORF1b.M592I","S.F306I","S.S50L","M.C86F","ORF1a.L3606F","ORF1a.V3718F","S.V341I","ORF1a.K513R","ORF1a.L624F","ORF1b.V2493F","N.P13L","ORF1b.V2061L","ORF9b.P10S","ORF7b.F16L","ORF1a.K2059R","ORF1b.D1389E","ORF3a.G172C","S.I197V","S.K1191N","ORF1a.T882I","ORF7a.T61I"
"B.1.1.231","Ecuador","2020-04-30",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.231","USA","2021-01-19",1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.231","USA","2021-01-19",1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.231","USA","2021-01-14",1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.231","USA","2020-12-26",1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.231","USA","2020-12-24",1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.231","USA","2021-01-16",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.231","USA","2021-01-22",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.231","USA","2020-07-26",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.231","USA","2020-07-24",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.231","USA","2020-11-04",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
