"lineage","country","date","N.A220V","ORF1a.I222V","ORF1a.E1007G","ORF1a.P1640L","ORF1b.P314L","ORF3a.D155Y","S.L18F","S.T51I","S.A222V","S.D614G","S.D936Y","ORF1a.V627L","ORF1a.S3344A","ORF1a.N1262S","ORF1b.V2178F","ORF8.S54L","ORF1b.V1320M","ORF1b.K2160N","ORF1a.V1143F","ORF1b.T139I","ORF1a.I671T","ORF1a.L3606F","ORF1b.T1230I","ORF1b.A1918S","ORF3a.P240S","ORF1b.V193A","ORF1b.A2222V","ORF1a.P927L","ORF1a.A1111T","ORF1b.S2339F","ORF1a.E867D","ORF1b.F1741L","S.L5F","ORF1a.A3615V","ORF7a.I103V","ORF1a.A2128V","ORF1b.V1644L","ORF1b.A2132V","ORF8.I71F","ORF1b.Q715L","ORF1a.T224I","ORF1a.H1545R","ORF1a.T2967N","ORF1b.A2518S","S.M153I","ORF1a.A1997V","ORF1b.Y1319C","ORF1b.P2162S","N.D377G","ORF1a.S1361F","ORF1b.E867D","ORF3a.S166L","ORF1a.N508S","ORF1a.L3876F","ORF1b.K499R","ORF1b.A517T","ORF1a.R207C","ORF7a.P84L","ORF1b.L203I","ORF7a.E121D","ORF7b.M1L","ORF1a.G661D","ORF1a.N2603S","N.A267V","ORF1a.P626L","ORF1a.T1567I","ORF1a.F3948L","ORF3a.S60F","ORF1a.G408S","ORF6.E55.","ORF1a.S944L","N.R10Q","ORF9b.E7K","ORF1a.L1556F","ORF3a.G172R","ORF1a.L3338F","S.D1163Y","S.V1060I","ORF1a.A656V","ORF3a.A99S","ORF1a.D4344A","ORF1b.D1869Y","ORF1a.S2242F"
"B.1.177.62","Germany","2021-04-13",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.62","Germany","2021-03-15",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.62","Germany","2021-01-26",0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.62","Germany","2021-01-18",1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.62","Germany","2021-01-20",1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.62","Germany","2021-02-13",1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.62","Germany","2021-02-17",1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.62","Germany","2021-02-16",1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.62","Germany","2021-01-25",1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.62","Germany","2021-02-01",1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
