"lineage","country","date","N.S194L","ORF1a.S142P","ORF1a.P309L","ORF1a.L3086I","ORF1b.P314L","ORF1b.E2221A","ORF3a.C148Y","ORF8.V62L","ORF8.D119N","S.D614G","ORF1b.T794I","ORF1a.T609I","ORF1a.M3221I","ORF1a.K3577N","S.L5F","ORF1a.T3058I","ORF1a.R398H","ORF1b.S961L","ORF8.W45.","ORF8.I121.","ORF1a.A2587V","ORF1a.A2123V","ORF1a.T3459M","ORF7b.L6S","ORF9b.R13L","S.Q690H","ORF1a.A656T","ORF1a.S3570N","ORF1a.V3689L","ORF3a.W131C","S.Y612F","ORF1a.L122F","ORF7a.L5F","ORF1a.S2804I","ORF1b.L629F","ORF3a.V48F","ORF6.H3R","S.R190S","E.V62F","ORF1b.A545V","ORF1b.P909S","ORF3a.A110V","ORF1a.R184C","ORF1a.A1679V","ORF1a.A3220V","ORF1b.L1423F","ORF3a.T223I","ORF1a.V2776I","ORF3a.A99T","ORF7a.S83L","ORF1a.P2055S","ORF1a.A2690V","N.P13T","ORF1a.T1637I","ORF1b.A1620V","ORF3a.G172C","ORF9b.H9Q","N.G238D","N.P383L","ORF1a.I476V","ORF1b.M592I","ORF1b.R1226C","ORF1b.A1491V","ORF1b.T1555A","ORF1b.I1799T","ORF7a.R80I","ORF7b.E39.","ORF9b.L64R","S.A222V","S.N679K","ORF1a.M584V","ORF1b.K82E","N.D144G","E.L73F","ORF1a.A591V","ORF1b.K2557R","N.Q389H","ORF1a.V366F","ORF1a.W630C","ORF1b.V2691F","S.S98F","ORF1a.P971S","ORF1a.R207C","ORF1b.T2084I","M.A2S","N.T205I","S.I197T","ORF1a.K399N","S.R78S","ORF1a.T1017I","ORF1b.V2515L","ORF1b.L1220F","M.A98S","N.Q28K","ORF1b.S59F","ORF1b.M2667V","ORF1a.E1687D","ORF1b.S569A","ORF1b.T2165M","S.S939F","N.G19R","ORF1a.S2488F","ORF1a.I739V","ORF1a.M3712I","ORF1a.T4087I","ORF1b.P2256S","ORF1b.Q2259R","ORF3a.L95F","S.F175S","S.D178N","ORF1a.S308L","ORF1b.L81F","ORF1b.P2531S","S.N354K","ORF1a.P2929S","ORF7a.S36A","S.D808G","ORF1a.A364S","ORF1a.R398C","ORF1a.L580F","ORF1a.V3976F","ORF1b.L2213F","ORF7a.R89I","ORF8.A65V","S.P26S","S.E1258D","ORF1a.T4065I","ORF1a.T4175I","ORF3a.S171L","ORF1a.T2846I","ORF1a.A4130S","M.A69V","ORF3a.T24I","ORF8.A65S","ORF1b.P1427S","ORF1a.P2260S","ORF1a.A3969V","ORF8.F120S","ORF1a.T554I","ORF1a.H2092Y","ORF1a.V3858L","ORF1a.T4083M","ORF9b.R32L","ORF1a.Q332L","ORF1a.A3705V","N.A12T","ORF1b.K89E","ORF9b.M8I","ORF1a.L2609F","ORF1a.R287S","S.E1262D","E.P71L","ORF1a.P2018L","ORF1a.V3510F","ORF1a.D1639N","ORF1b.P1427L","ORF1b.D1869Y","ORF3a.Q185H","ORF1a.T333M","ORF1a.I2244T","ORF1b.A1291S","ORF1b.T1555I","ORF1b.P1664S","ORF1b.T2514I","N.T334I","ORF1a.V2430I","ORF1b.D1869G","M.H155L","ORF1a.P3447L","ORF1b.M2462I","ORF3a.T89I","M.A68S","ORF1a.A3454V","S.T716I","ORF1a.S391F","ORF1a.R2163S","ORF1b.I687T","ORF1a.S376L","ORF1a.V2766I","ORF1b.A1057S","ORF3a.E226V","S.L176F","ORF1a.T1429I","ORF1a.L3606F","S.H49Y","ORF1a.P1497L","ORF9b.A57V","ORF1a.L3915F","ORF1a.Y1064C","ORF1a.D1849E"
"B.1.396","Mexico","2020-12-21",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.396","Mexico","2020-12-23",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.396","Mexico","2020-09-07",1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.396","Mexico","2021-02-11",1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.396","Mexico","2021-02-12",1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.396","Mexico","2021-02-12",1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.396","Mexico","2021-02-11",1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.396","Mexico","2021-02-11",1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.396","Mexico","2020-12-11",1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.396","USA","2021-03-01",1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
