"lineage","country","date","N.Q229R","ORF1a.V3718F","ORF1a.M3752I","ORF1b.P314L","ORF1b.D1127Y","ORF1b.P2256S","ORF3a.Q57H","S.D614G","ORF8.I9T","N.R209I","ORF1a.A3924V","ORF1b.S1408L","ORF3a.Q213L","ORF7b.A15S","ORF8.Q91.","ORF1a.K4176N","ORF8.C25F","ORF1b.S2312L","ORF8.S54L","ORF1a.T2648I","ORF1a.N1080D","M.A85V","ORF1a.S318L","ORF1a.P1640S","ORF1a.P1921L","ORF1a.M3087T","ORF1b.F312L","ORF7b.L32F","N.A252V","ORF1a.P2018S","ORF8.A14T","ORF1b.P1223S","S.T95I","ORF1b.D2142N","ORF1a.S3099L","ORF1a.T3598I","S.L5F","S.L176F","ORF1b.T2514I","ORF6.M58I","S.M1237I","S.A688V","ORF1a.I300V","ORF1b.A2143V","ORF8.A51V","M.A63S","N.A12T","ORF1a.A211V","ORF9b.M8I","ORF1a.G3278S","ORF3a.K67N","ORF1a.K367E","ORF1a.L3754F","ORF1b.V225A","ORF8.V116F","N.Q7K","ORF1a.T1538I","ORF7a.T11I","ORF1a.V3261I","S.Q613H","E.A41V","ORF1a.M3087I","ORF1b.C3R","ORF3a.S74F","S.L18F","ORF6.K48N","ORF1a.E743A","ORF1b.A1326S","ORF1b.V181I","ORF3a.S253P","N.T282I","ORF1a.T3058I","ORF1b.K2557R","S.V1068F","ORF1a.P971S","ORF1b.P1223L","ORF3a.T270I","ORF1b.A1847S","S.V635F","ORF1a.A967V","ORF1a.V1415A","ORF9b.R32L","ORF3a.P104L","ORF1a.T592I","ORF1a.T1788M","ORF1b.V666I","ORF1b.Q1546H","N.T271I","ORF1b.A1643V","N.P13S","ORF9b.Q18R","S.M740I","ORF1a.G514E","ORF1a.P1213L","ORF1b.F462L","N.A381T","S.V62F","ORF1a.S3564L"
"B.1.9.4","Switzerland","2020",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9.4","Switzerland","2020",1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9.4","Switzerland","2020",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9.4","Germany","2021-01-04",1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9.4","Germany","2021-01-22",1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9.4","Germany","2021-01-22",1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9.4","Germany","2021-01-22",1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9.4","Germany","2021-01-23",1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9.4","Germany","2021-02-10",1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9.4","Germany","2021-02-17",1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
