"lineage","country","date","ORF1b.V2178F","ORF8.V81I","NA.","ORF1b.L2017F","ORF1b.G2180V","ORF1a.L2084V","ORF1b.L1099F","ORF1a.Q884L","ORF3a.L140F","S.A701V","ORF1b.T1173I","ORF3a.S40L","ORF8.A65V","N.M322T","ORF1a.A1851V","ORF1b.P1727L","ORF8.T11K","S.Q183R","ORF1a.V2133I","ORF1b.A2028D","N.G243C","ORF6.D61G","ORF7b.L6F","N.K373N","ORF7a.L77.","N.N29T","ORF9b.M26L","S.L822F","ORF6.T10I","S.K1245N","S.R765L","E.T30I","ORF1b.A2222V","ORF7a.T11R","ORF8.Q18.","S.Y144F","S.G72W","N.S194L","N.M234I","ORF1a.K3353R","ORF1b.P1567L"
"B.55","Germany","2020-03",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.55","Germany","2020-03",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.55","United Kingdom","2020-03-04",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.55","United Kingdom","2020-03-08",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.55","United Kingdom","2020-03-10",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.55","United Kingdom","2020-03-10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.55","United Kingdom","2020-04-02",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.55","United Kingdom","2020-03-05",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.55","United Kingdom","2020-04-03",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.55","Iceland","2020-03-19",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.55","Iceland","2020-03-30",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.55","New Zealand","2020-03-13",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
