"lineage","country","date","E.P71L","N.T205I","ORF1a.T265I","ORF1a.K1655N","ORF1a.N2596S","ORF1a.K3353R","ORF1a.A3456V","ORF1b.P314L","ORF3a.Q57H","ORF3a.S171L","ORF3a.T175I","S.L18F","S.D80A","S.D215G","S.K417N","S.E484K","S.D614G","S.A701V","S.N501Y","S.D1084Y","S.I934L","ORF8.I121L","ORF1a.S2493I","S.L5F","M.A83S","ORF1a.P1786L","ORF1a.T619N","ORF1a.L1249F","ORF1a.A2213S","ORF1a.F2387I","ORF1b.D1183N","ORF1a.H374R","ORF1a.Y949C","ORF1a.S2024L","ORF1a.K2622N","S.K77R","M.R107H","E.T30I","M.I8F","N.S327L","ORF1a.S2488F","ORF1a.L3495F","ORF1b.D161Y","ORF1b.T2537I","S.L176F","S.S810A","S.P1112S","S.L1186F","ORF1b.T1274I","ORF1b.A1895V","ORF1b.S2638F","N.A313S","ORF1b.Y1464C","ORF1b.T1137I","N.H145Y","ORF3a.C200S","ORF7a.P34S","S.N440T","S.C1250F","ORF1b.L629F","ORF1b.K2557R","N.D63Y","ORF1a.A76S","ORF3a.A72S","ORF9b.K59N","ORF1a.K2143R","ORF1b.D1899E"
"B.1.351.2","United Kingdom","2021-02-21",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.351.2","United Kingdom","2021-02-21",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.351.2","United Kingdom","2021-02-21",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.351.2","United Kingdom","2021-02-21",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.351.2","United Kingdom","2021-03-15",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.351.2","United Kingdom","2021-01-28",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.351.2","France","2021-01-18",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.351.2","France","2021-03-12",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.351.2","France","2021-03-12",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.351.2","Germany","2021-03-22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
