"lineage","country","date","N.S197L","N.T362I","ORF1a.T265I","ORF1a.V337F","ORF1a.E844G","ORF1a.M2674I","ORF1a.S3884L","ORF1b.P314L","ORF1b.A1844V","ORF3a.Q57H","S.D614G","S.E654Q","N.T282I","S.G181A","S.D253G","ORF1b.S1742F","ORF1a.K2589R","ORF1a.L3606F","ORF1b.A2431S","S.T51I","N.T391I","ORF1a.N126S","ORF1a.E750K","ORF1a.G2207S","ORF1a.P2605S","ORF1b.T1774I","ORF1b.A2105V","ORF3a.S166L","S.S477N","N.D377Y","ORF1a.S2625F","ORF1a.A1298V","ORF1a.T2300I","ORF1b.K2557R","ORF3a.K21N","ORF1a.T170I","ORF1a.P1810L","ORF3a.T32I","N.P13L","ORF1a.A1352V","ORF1a.E1614D","ORF1a.K3353R","ORF1a.P3395L","ORF1b.H2516R","ORF9b.P10S","S.M731I","N.A308S","ORF1a.P309L","ORF1a.V1765I","ORF1b.T1511I","ORF3a.E241K","ORF8.V114F","ORF1a.A1283T","ORF1b.T17I","ORF1b.V2073I","ORF3a.I63V","ORF3a.G174C","ORF1a.Q3777H","ORF1b.P218L","ORF1b.S2198I","S.A626S","S.E1072Q","N.M234I","ORF1a.D1088A","ORF1a.M3221I","ORF3a.W128L","ORF3a.D173A","ORF1b.S640L","S.T547I","N.D3N","N.P383L","ORF1a.T760A","ORF1a.G2118S","N.P67L","N.G243S","ORF1a.T2615I","ORF8.E59.","ORF9b.L64F","ORF1a.E1210G","ORF1b.M454I","ORF3a.K198N","ORF1a.T1055I","ORF1b.R712H","N.P279Q","ORF1a.S142L","ORF1a.A537V","ORF1a.A1679V","ORF1a.M2796I","ORF1b.A88V","ORF1b.L1701F","ORF3a.L85F","ORF3a.G251V","S.H49Y","ORF1a.V2252A","ORF1b.P1223L","ORF1b.P2256S","S.R21I","S.E661A"
"B.1.499","Argentina","2020-09-15",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.499","Argentina","2020-09-14",1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.499","Argentina","2020-09-14",1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.499","Argentina","2020-09-13",1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.499","Argentina","2020-09-17",1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.499","Argentina","2020-09-14",1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.499","Argentina","2020-09-14",1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.499","Argentina","2020-09-14",1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.499","United Kingdom","2021-02-25",1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.499","United Kingdom","2021-01-29",1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.499","Hong Kong","2020-09-19",1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
