"lineage","country","date","N.R203K","N.G204R","ORF1a.S2103F","ORF1b.P314L","ORF3a.L46F","S.D614G","ORF1b.V1708F","S.T547K","ORF1a.P2739H","ORF1a.Q975L","S.S375P","ORF1a.R2528I","ORF1b.L1449F","N.G238C","ORF1a.S2797F","ORF3a.F43L","ORF3a.W193L","ORF3a.G44V","ORF1a.G728D","ORF1b.K1835N","ORF1a.Y1537H","ORF1a.L1279F","ORF1b.T2537I","ORF1a.A486S","ORF1a.P2018L","ORF1a.A3357V","ORF1a.T4065A","E.S68F","ORF1b.V839L","ORF1b.R1078C","ORF1a.A3270T","ORF1a.L2039F","ORF1b.S511N","ORF3a.L65F","ORF1a.G445V","S.T1120I","S.R246K","S.G184S","ORF1a.S2500F","ORF1a.T2021I","ORF1a.L2760F","ORF1b.P218L","ORF7a.V108L","ORF8.F41S","M.A188T","ORF1a.P4075S","ORF1a.I1153V","ORF1a.V1471L","ORF1a.A3456V","ORF1a.L3513I","ORF3a.T9K","S.L822F","ORF1b.M1499I","ORF1a.Q3893H","ORF3a.H182Y","S.S221L","N.T24I","ORF1a.L3606F"
"B.1.1.8","Australia","2020-04-03",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.8","Australia","2020-03-23",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.8","Australia","2020-03-27",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.8","Australia","2020-03-29",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.8","Australia","2020-03-29",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.8","United Kingdom","2020-05-08",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.8","United Kingdom","2020-04-03",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.8","United Kingdom","2020-04-02",1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.8","United Kingdom","2020-04-05",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.8","United Kingdom","2020-04-06",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
